Sector,Ticker,Volatility_Annual_Pct,Return_Annual_Pct,Indian_Std_Volatility_Pct,Risk_Comparison,Volatility_vs_India_Pct
Oil_Gas,ONGC.NS,31.8,25.78,,Standard,
Auto,M&M.NS,28.25,34.19,24.0,Standard,4.25
IT,INFY.NS,24.02,8.13,18.0,High,6.02
Oil_Gas,RELIANCE.NS,22.54,11.83,,Standard,
Banking,ICICIBANK.NS,22.0,21.91,22.0,Standard,0.0
Banking,HDFCBANK.NS,21.18,7.81,22.0,Standard,-0.82
FMCG,ITC.NS,20.73,11.35,14.0,High,6.73
IT,TCS.NS,20.67,1.48,18.0,Standard,2.67
Auto,TMPV.NS,20.64,-48.15,24.0,Standard,-3.36
FMCG,HINDUNILVR.NS,20.09,2.1,14.0,High,6.09
